timestamp,open,high,low,close,spread_pips,event_blocked,event_tag,roundtrip_cost_pips
2026-09-16T09:00:00+09:00,150.04,150.06,150.02,150.04,0.3,FALSE,non-event,0.1
2026-09-16T09:05:00+09:00,150.04,150.05,150.00,150.03,0.3,FALSE,non-event,0.1
2026-09-16T09:10:00+09:00,150.03,150.07,150.01,150.06,0.3,FALSE,non-event,0.1
2026-09-16T09:15:00+09:00,150.06,150.09,150.03,150.08,0.3,FALSE,non-event,0.1
2026-09-16T09:20:00+09:00,150.08,150.11,150.05,150.10,0.3,FALSE,non-event,0.1
2026-09-16T09:25:00+09:00,150.10,150.13,150.07,150.12,0.3,FALSE,non-event,0.1
2026-09-16T09:30:00+09:00,150.12,150.15,150.09,150.14,0.3,FALSE,non-event,0.1
2026-09-16T09:35:00+09:00,150.14,150.17,150.11,150.16,0.3,FALSE,non-event,0.1
2026-09-16T09:40:00+09:00,150.16,150.18,150.12,150.17,0.3,FALSE,non-event,0.1
2026-09-16T09:45:00+09:00,150.17,150.19,150.13,150.18,0.3,FALSE,non-event,0.1
2026-09-16T09:50:00+09:00,150.18,150.20,150.14,150.19,0.3,FALSE,non-event,0.1
2026-09-16T09:55:00+09:00,150.19,150.19,150.15,150.17,0.3,FALSE,non-event,0.1
