timestamp,open,high,low,close,spread_pips,event_blocked,event_tag,roundtrip_cost_pips
2026-09-16T09:00:00+09:00,150.04,150.06,150.02,150.04,0.3,FALSE,non-event,0.1
2026-09-16T09:05:00+09:00,150.04,150.05,150.00,150.03,0.3,FALSE,non-event,0.1
2026-09-16T09:10:00+09:00,150.03,150.08,150.02,150.06,0.3,FALSE,non-event,0.1
2026-09-16T09:15:00+09:00,150.06,150.20,150.06,150.18,0.3,FALSE,non-event,0.1
2026-09-16T09:20:00+09:00,150.18,150.19,150.14,150.16,0.3,FALSE,non-event,0.1
2026-09-16T09:25:00+09:00,150.16,150.19,150.12,150.16,0.3,FALSE,non-event,0.1
2026-09-16T09:30:00+09:00,150.16,150.19,150.12,150.16,0.3,FALSE,non-event,0.1
2026-09-16T09:35:00+09:00,150.16,150.19,150.12,150.16,0.3,FALSE,non-event,0.1
2026-09-16T09:40:00+09:00,150.16,150.19,150.12,150.16,0.3,FALSE,non-event,0.1
2026-09-16T09:45:00+09:00,150.16,150.19,150.12,150.16,0.3,FALSE,non-event,0.1
